Year,Round,Game,Home,Home Score,Venue,Home Field-H,Home State,LP-H
2021,round18,8Game5,,,,,,
2021,round18,8Game6,,,,,,
2021,round18,8Game7,,,,,,
2021,round18,8Game8,,,,,,
2021,round18,8Game9,,,,,,
2021,round19,9Game1,,,,,,
2021,round19,9Game2,,,,,,
2021,round19,9Game3,,,,,,
2021,round19,9Game4,,,,,,
2021,round19,9Game5,,,,,,
2021,round19,9Game6,,,,,,
2021,round19,9Game7,,,,,,
2021,round19,9Game8,,,,,,
2021,round19,9Game9,,,,,,
2021,round20,0Game1,,,,,,
2021,round20,0Game2,,,,,,
2021,round20,0Game3,,,,,,
2021,round20,0Game4,,,,,,
2021,round20,0Game5,,,,,,
2021,round20,0Game6,,,,,,
2021,round20,0Game7,,,,,,
2021,round20,0Game8,,,,,,
2021,round20,0Game9,,,,,,
2021,round21,1Game1,,,,,,
2021,round21,1Game2,,,,,,
2021,round21,1Game3,,,,,,
2021,round21,1Game4,,,,,,
2021,round21,1Game5,,,,,,
2021,round21,1Game6,,,,,,
2021,round21,1Game7,,,,,,
2021,round21,1Game8,,,,,,
2021,round21,1Game9,,,,,,
2021,round22,2Game1,,,,,,
2021,round22,2Game2,,,,,,
2021,round22,2Game3,,,,,,
2021,round22,2Game4,,,,,,
2021,round22,2Game5,,,,,,
2021,round22,2Game6,,,,,,
2021,round22,2Game7,,,,,,
2021,round22,2Game8,,,,,,
2021,round22,2Game9,,,,,,
2021,round23,3Game1,,,,,,
2021,round23,3Game2,,,,,,
2021,round23,3Game3,,,,,,
2021,round23,3Game4,,,,,,
2021,round23,3Game5,,,,,,
2021,round23,3Game6,,,,,,
2021,round23,3Game7,,,,,,
2021,round23,3Game8,,,,,,
2021,round23,3Game9,,,,,,
